FID,BDNAME,BDNUM,TEXT_NBR,Shape_STAr,Shape_STLe,NCR_LINK,IMAGE,SHAPE_Length,SHAPE_Area
1,Phillips West,90,90,10669249.7418,14403.8859339,http://www.nrp.org/r2/Neighborhoods/Orgs/PHW.html,PHW,0.0458010635867905,0.000113021619374508
2,Downtown West,87,87,20756129.9826,19220.6025407,http://www.nrp.org/r2/Neighborhoods/Orgs/DTN.html,DTN,0.0636714183006916,0.000219964935764469
3,Downtown East,88,88,10254989.3901,13436.6013564,http://www.nrp.org/r2/Neighborhoods/Orgs/DTN.html,DTN,0.045178716610103,0.000108674833588348
4,Ventura Village,89,89,12635259.2162,16988.5327168,http://www.nrp.org/r2/Neighborhoods/Orgs/VEN.html,VEN,0.0595897553959947,0.000133868550431969
5,Sumner - Glenwood,29,29,5741860.13983,11065.343364,http://www.nrp.org/r2/Neighborhoods/Orgs/SGL.html,SGL,0.0355354584429022,6.08563764914774e-05
6,Shingle Creek,1,01,13900423.8703,15767.9990023,http://www.nrp.org/r2/Neighborhoods/Orgs/SHC.html,SHC,0.0550476247786405,0.000147488024002561
7,Lind - Bohanon,2,02,22382705.6261,21167.8147498,http://www.nrp.org/r2/Neighborhoods/Orgs/LBN.html,LBN,0.0677689101151115,0.00023747412464452
8,Webber - Camden,4,04,25772560.607,22103.7965069,http://www.nrp.org/r2/Neighborhoods/Orgs/WCO.html,,0.0747755108516475,0.0002733729453072
9,Bottineau,14,14,7876320.82195,11648.587358,http://www.nrp.org/r2/Neighborhoods/Orgs/BOT.html,BOT,0.0383956082972691,8.35153702995673e-05
10,Victory,3,03,19064961.0202,21488.51438,http://www.nrp.org/r2/Neighborhoods/Orgs/VIC.html,VIC,0.0687205353345791,0.000202235501607261
11,Humboldt Industrial Area,8,08,7640567.3302,13657.2970237, ,,0.049060203725379,8.10607323535934e-05
12,Howe,63,63,29649851.5619,23551.0749491,http://ncr.ediq.com/r2/Neighborhoods/Orgs/LFW.html,LFW,0.082525451391239,0.000313991904738726
13,Hiawatha,64,64,34604293.0049,29627.7758715,http://ncr.ediq.com/r2/Neighborhoods/Orgs/LFW.html,LFW,0.0969061269391233,0.000366367849397838
14,Windom,68,68,20475332.6373,19303.17589,http://www.nrp.org/r2/Neighborhoods/Orgs/WDM.html,WDM,0.0638565898683311,0.00021668725478423
15,Ericsson,76,76,25397728.6807,24198.3475435,http://www.nrp.org/r2/Neighborhoods/Orgs/SEN.html,SEN,0.0839302938286907,0.000268890779955697
16,Field,77,77,9638974.78602,14399.1753059,http://www.nrp.org/r2/Neighborhoods/Orgs/FRN.html,FRN,0.0461650230939927,0.000102040126229579
17,Page,78,78,9174383.47504,12376.9150307,http://www.nrp.org/r2/Neighborhoods/Orgs/HPD.html,HPD,0.0406378088977679,9.71083996560184e-05
18,Como,37,37,31444478.1415,26465.8093917,http://www.nrp.org/r2/Neighborhoods/Orgs/SEC.html,SEC,0.0918229557650969,0.000333283752452109
19,Cedar Riverside,38,38,16011558.5676,24930.3486472,http://www.nrp.org/r2/Neighborhoods/Orgs/CDR.html,CDR,0.0861871802730527,0.00016965848547258
20,Prospect Park - East River Road,39,39,35534761.0442,26763.6926512,http://www.nrp.org/r2/Neighborhoods/Orgs/PRO.html,PRO,0.0829552527151703,0.000376524965526266
21,University of Minnesota,40,40,18295341.5914,22835.765591, ,,0.0736054453245079,0.000193877369336826
22,Jordan,24,24,22209664.2329,20245.9560024,http://www.nrp.org/r2/Neighborhoods/Orgs/JOR.html,JOR,0.0683346689929362,0.000235488543788433
23,Hawthorne,25,25,26356707.1552,20343.5092756,http://www.nrp.org/r2/Neighborhoods/Orgs/HAW.html,HAW,0.0672115103421596,0.000279453881096338
24,Willard - Hay,26,26,29537890.7435,28618.9533319,http://www.nrp.org/r2/Neighborhoods/Orgs/NNW.html,NNW,0.0884453122318967,0.000313130189979572
25,Near - North,27,27,29597842.5155,27835.1166424,http://www.nrp.org/r2/Neighborhoods/Orgs/NNW.html,NNW,0.09602751052764,0.000313745926914496
26,Harrison,28,28,15869757.7919,21534.7040571,http://www.nrp.org/r2/Neighborhoods/Orgs/HAR.html,HAR,0.0779126810667193,0.000168189225848907
27,Loring Park,31,31,13044294.1103,16372.91286,http://www.nrp.org/r2/Neighborhoods/Orgs/LOR.html,LOR,0.0549523327872962,0.000138218560970154
28,Steven's Square - Loring Heights,32,32,5182924.55859,11558.1948339,http://www.nrp.org/r2/Neighborhoods/Orgs/SSQ.html,SSQ,0.0422616193926179,5.491371659883e-05
29,Minnehaha,81,81,16613543.8075,18996.2270822,http://ncr.ediq.com/r2/Neighborhoods/Orgs/NOK.html,NOK,0.0660833329293366,0.000175857221425013
30,Diamond Lake,82,82,28729469.1633,27464.4322668,http://www.nrp.org/r2/Neighborhoods/Orgs/HPD.html,HPD,0.0940129650548708,0.000304041817673331
31,Cooper,62,62,18454505.037,16979.4406429,http://ncr.ediq.com/r2/Neighborhoods/Orgs/LFW.html,LFW,0.0552716047636615,0.000195471139510729
