X,Y,publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-93.2794780680711,44.9726448167083,0012XX YALE PL ,MP2018188630        ,1     ,2018/06/08 00:00:00+00,1130,2018/06/05 00:00:00+00,2018/06/08 11:30:00+00,2000,BURGB   ,BURGLARY OF BUSINESS          ,06 ,2018/06/08 00:00:00+00,16709,-93.2794854,44.97264514,-10383824,5617216,Loring Park,2018/06/08 00:00:00+00,2019/02/11 12:25:00+00,103
-93.2805201138006,44.9483441986552,0001XX LAKE ST W,MP2018188639        ,5     ,2018/06/08 00:00:00+00,1100,2018/06/07 00:00:00+00,2018/06/08 11:00:00+00,1210,THEFT   ,OTHER THEFT                   ,07 ,2018/06/08 00:00:00+00,21929,-93.28052287,44.94834712,-10383940,5613393,Lyndale,2018/06/08 00:00:00+00,2019/02/11 12:25:09+00,104
-93.2693899874304,44.9802767602398,0003XX NICOLLET MALL  ,MP2018188670        ,1     ,2018/06/08 00:00:00+00,1255,2018/06/07 00:00:00+00,2018/06/08 12:55:00+00,1737,THEFT   ,OTHER THEFT                   ,07 ,2018/06/08 00:00:00+00,21735,-93.26939311,44.98028091,-10382701,5618417,Downtown West,2018/06/08 00:00:00+00,2019/02/11 12:25:09+00,105
-93.2727317202873,44.9277731197925,0041XX 3RD AVE S,MP2018188710        ,3     ,2018/06/08 00:00:00+00,1501,2018/06/07 00:00:00+00,2018/06/08 15:01:00+00,2100,BURGD   ,BURGLARY OF DWELLING          ,06 ,2018/06/08 00:00:00+00,16261,-93.27273809,44.92777335,-10383073,5610158,Bryant,2018/06/08 00:00:00+00,2019/02/11 12:25:09+00,106
-93.2773580440005,44.9767691154994,00003X 9TH ST N,MP2018188737        ,1     ,2018/06/08 00:00:00+00,1351,2018/06/07 00:00:00+00,2018/06/08 13:51:00+00,1330,TBLDG   ,THEFT FROM BUILDING           ,07 ,2018/06/09 00:00:00+00,25970,-93.27736013,44.97677369,-10383588,5617865,Downtown West,2018/06/09 00:00:00+00,2019/02/11 12:25:09+00,107
-93.2321188862923,44.9295984253159,0040XX 28TH AVE S,MP2018188739        ,3     ,2018/06/08 00:00:00+00,1404,2018/06/07 00:00:00+00,2018/06/08 14:04:00+00,2000,BURGB   ,BURGLARY OF BUSINESS          ,06 ,2018/06/12 00:00:00+00,13026,-93.23211948,44.92960325,-10378552,5610445,Standish,2018/06/12 00:00:00+00,2019/02/11 12:25:09+00,108
-93.3081972077044,45.0038651787119,,MP2018188749        ,4     ,2018/06/08 00:00:00+00,1707,2018/06/08 00:00:00+00,2018/06/08 17:07:00+00,700,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/06/14 00:00:00+00,,-93.3082,45.00387,-10387021,5622130,Jordan,2018/06/14 00:00:00+00,2019/02/11 12:25:09+00,109
-93.3082241571629,45.0105339912682,0029XX PENN AVE N,MP2018188843        ,4     ,2018/06/08 00:00:00+00,2134,2018/06/08 00:00:00+00,2018/06/08 21:34:00+00,1430,ROBPAG  ,ROBBERY PER AGG               ,04 ,2018/06/09 00:00:00+00,10883,-93.3082279,45.01053476,-10387024,5623180,Jordan,2018/06/09 00:00:00+00,2019/02/11 12:25:09+00,110
-93.3088350115561,45.0354494240593,0022XX 44TH AVE N,MP2018188906        ,4     ,2018/06/08 00:00:00+00,2336,2018/06/08 00:00:00+00,2018/06/08 23:36:00+00,1440,BIKETF  ,BIKE THEFT                    ,07,2018/06/09 00:00:00+00,10764,-93.3088358,45.03545137,-10387092,5627104,Victory,2018/06/09 00:00:00+00,2019/02/11 12:25:09+00,111
-93.2838708298104,44.8923621697177,0003XX 61ST ST W,MP2018188936        ,5     ,2018/06/08 00:00:00+00,1834,2018/06/08 00:00:00+00,2018/06/08 18:34:00+00,1500,THEFT   ,OTHER THEFT                   ,07 ,2018/06/09 00:00:00+00,13468,-93.28387687,44.89236543,-10384313,5604592,Windom,2018/06/18 00:00:00+00,2019/02/11 12:25:09+00,112
-93.2800799393114,44.9698612239979,0001XX GRANT ST W,MP2018188943        ,1     ,2018/06/08 00:00:00+00,2150,2018/06/08 00:00:00+00,2018/06/08 21:50:00+00,1610,THEFT   ,OTHER THEFT                   ,07 ,2018/06/09 00:00:00+00,17341,-93.28008046,44.96986308,-10383891,5616778,Loring Park,2018/06/09 00:00:00+00,2019/02/11 12:25:09+00,113
-93.2448480138683,44.9572126060633,0025XX OGEMA PL ,MP2018189024        ,3     ,2018/06/08 00:00:00+00,2138,2018/06/08 00:00:00+00,2018/06/08 21:38:00+00,1537,ROBPAG  ,ROBBERY PER AGG               ,04 ,2018/06/09 00:00:00+00,21424,-93.24485196,44.9572173,-10379969,5614788,East Phillips,2018/06/09 00:00:00+00,2019/02/11 12:25:09+00,114
-93.2936714495601,44.9489100376174,0011XX LAGOON AVE ,MP2018189029        ,5     ,2018/06/08 00:00:00+00,1759,2018/06/06 00:00:00+00,2018/06/08 17:59:00+00,1730,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2018/06/09 00:00:00+00,19777,-93.29367343,44.94891146,-10385404,5613482,Lowry Hill East,2018/06/09 00:00:00+00,2019/02/11 12:25:09+00,115
